"","site_id","valley","visit","month","elev_m","temp_c","rain_mm","veg_cover_pct","canopy_pct","grazing","trap_nights","observer","voles"
"1","S01","North",1,4,271,19.1,78,77.8,45.5,"grazed",25,"Alex",0
"2","S01","North",2,6,271,24.1,63,77.8,45.5,"grazed",25,"Alex",0
"3","S01","North",3,8,271,24.9,60,77.8,45.5,"grazed",40,"Lea",6
"4","S01","North",4,10,271,21.4,21,77.8,45.5,"grazed",30,"Lea",22
"5","S02","North",1,4,1006,13.4,6,51.2,35.1,"ungrazed",20,"Alex",0
"6","S02","North",2,6,1006,19.2,190,51.2,35.1,"ungrazed",30,"Lea",5
"7","S02","North",3,8,1006,21,68,51.2,35.1,"ungrazed",25,"Lea",2
"8","S02","North",4,10,1006,15.9,72,51.2,35.1,"ungrazed",40,"Alex",17
"9","S03","North",1,4,1489,10,45,43.7,43.5,"ungrazed",30,"PJ",0
"10","S03","North",2,6,1489,16.1,53,43.7,43.5,"ungrazed",40,"Lea",2
"11","S03","North",3,8,1489,16.9,20,43.7,43.5,"ungrazed",25,"PJ",NA
"12","S03","North",4,10,1489,12.2,46,43.7,43.5,"ungrazed",25,"PJ",7
"13","S04","North",1,4,328,18.8,231,55.2,32.2,"grazed",40,"Lea",19
"14","S04","North",2,6,328,24.4,86,55.2,32.2,"grazed",30,"Lea",0
"15","S04","North",3,8,328,25.6,77,55.2,32.2,"grazed",30,"Lea",3
"16","S04","North",4,10,328,20.4,91,55.2,32.2,"grazed",20,"Alex",0
"17","S05","North",1,4,285,17.5,152,42.8,29.5,"ungrazed",25,"PJ",5
"18","S05","North",2,6,285,23.6,21,42.8,29.5,"ungrazed",40,"Lea",3
"19","S05","North",3,8,285,26.1,201,42.8,29.5,"ungrazed",30,"Lea",1
"20","S05","North",4,10,285,21.7,425,42.8,29.5,"ungrazed",25,"PJ",4
"21","S06","North",1,4,1241,13.8,41,40.6,53.2,"grazed",40,"Alex",0
"22","S06","North",2,6,1241,14.7,210,40.6,53.2,"grazed",25,"PJ",10
"23","S06","North",3,8,1241,18.3,41,40.6,53.2,"grazed",30,"Lea",8
"24","S06","North",4,10,1241,15.2,11,40.6,53.2,"grazed",20,"PJ",12
"25","S07","North",1,4,1903,9,20,65.7,47,"ungrazed",25,"Alex",3
"26","S07","North",2,6,1903,12.3,93,65.7,47,"ungrazed",30,"PJ",2
"27","S07","North",3,8,1903,14.8,150,65.7,47,"ungrazed",25,"Alex",11
"28","S07","North",4,10,1903,10.5,68,65.7,47,"ungrazed",30,"PJ",0
"29","S08","North",1,4,1288,10.7,57,71.1,62.4,"ungrazed",25,"Alex",2
"30","S08","North",2,6,1288,17.8,160,71.1,62.4,"ungrazed",30,"PJ",6
"31","S08","North",3,8,1288,17.9,218,71.1,62.4,"ungrazed",30,"PJ",1
"32","S08","North",4,10,1288,13.7,234,71.1,62.4,"ungrazed",40,"Lea",2
"33","S09","North",1,4,835,16.3,63,95.2,43.6,"ungrazed",30,"Alex",20
"34","S09","North",2,6,835,21,70,95.2,43.6,"ungrazed",40,"PJ",10
"35","S09","North",3,8,835,23.4,35,95.2,43.6,"ungrazed",25,"PJ",6
"36","S09","North",4,10,835,18.6,93,95.2,43.6,"ungrazed",20,"Alex",1
"37","S10","North",1,4,1149,13.3,42,55.2,51.8,"grazed",25,"Alex",0
"38","S10","North",2,6,1149,18,68,55.2,51.8,"grazed",25,"Alex",9
"39","S10","North",3,8,1149,21.5,49,55.2,51.8,"grazed",20,"PJ",3
"40","S10","North",4,10,1149,18.7,112,55.2,51.8,"grazed",20,"PJ",0
"41","S11","Central",1,4,310,17.9,19,40.4,5.1,"ungrazed",20,"PJ",1
"42","S11","Central",2,6,310,22.6,110,40.4,5.1,"ungrazed",25,"Lea",1
"43","S11","Central",3,8,310,26.1,21,40.4,5.1,"ungrazed",30,"PJ",0
"44","S11","Central",4,10,310,18.7,228,40.4,5.1,"ungrazed",20,"Lea",2
"45","S12","Central",1,4,313,18.6,92,59.9,53.7,"grazed",30,"Alex",0
"46","S12","Central",2,6,313,21.6,26,59.9,53.7,"grazed",30,"Alex",0
"47","S12","Central",3,8,313,26.5,97,59.9,53.7,"grazed",20,"Lea",0
"48","S12","Central",4,10,313,20.7,100,59.9,53.7,"grazed",20,"Lea",11
"49","S13","Central",1,4,2036,8,112,49.8,43.5,"ungrazed",40,"Lea",3
"50","S13","Central",2,6,2036,12.7,120,49.8,43.5,"ungrazed",40,"PJ",4
"51","S13","Central",3,8,2036,14.3,140,49.8,43.5,"ungrazed",20,"PJ",2
"52","S13","Central",4,10,2036,9.7,47,49.8,43.5,"ungrazed",30,"Lea",1
"53","S14","Central",1,4,150,20.8,57,66.6,45.5,"grazed",20,"Alex",3
"54","S14","Central",2,6,150,25.9,227,66.6,45.5,"grazed",30,"Alex",0
"55","S14","Central",3,8,150,26.9,42,66.6,45.5,"grazed",20,"Alex",0
"56","S14","Central",4,10,150,22,132,66.6,45.5,"grazed",30,"PJ",16
"57","S15","Central",1,4,2041,7.3,84,60.7,40.1,"grazed",25,"Lea",0
"58","S15","Central",2,6,2041,12.6,90,60.7,40.1,"grazed",30,"Lea",2
"59","S15","Central",3,8,2041,12.9,101,60.7,40.1,"grazed",30,"Alex",0
"60","S15","Central",4,10,2041,10.7,35,60.7,40.1,"grazed",40,"PJ",0
"61","S16","Central",1,4,706,15.7,54,60.6,34.3,"grazed",25,"PJ",0
"62","S16","Central",2,6,706,21.1,31,60.6,34.3,"grazed",25,"Alex",NA
"63","S16","Central",3,8,706,23.2,35,60.6,34.3,"grazed",20,"Lea",0
"64","S16","Central",4,10,706,18.2,87,60.6,34.3,"grazed",25,"Alex",0
"65","S17","Central",1,4,1460,10.7,43,65.7,42.4,"grazed",25,"PJ",0
"66","S17","Central",2,6,1460,17.5,113,65.7,42.4,"grazed",20,"Alex",0
"67","S17","Central",3,8,1460,17,47,65.7,42.4,"grazed",30,"Lea",0
"68","S17","Central",4,10,1460,13.2,161,65.7,42.4,"grazed",30,"PJ",15
"69","S18","Central",1,4,1935,8.2,230,35.9,28,"ungrazed",25,"PJ",2
"70","S18","Central",2,6,1935,12,38,35.9,28,"ungrazed",20,"Alex",0
"71","S18","Central",3,8,1935,14.5,99,35.9,28,"ungrazed",40,"PJ",7
"72","S18","Central",4,10,1935,11.5,124,35.9,28,"ungrazed",25,"Alex",0
"73","S19","Central",1,4,762,17.1,64,57.6,41.3,"grazed",40,"Alex",0
"74","S19","Central",2,6,762,21.1,90,57.6,41.3,"grazed",30,"PJ",11
"75","S19","Central",3,8,762,21.5,18,57.6,41.3,"grazed",40,"Alex",0
"76","S19","Central",4,10,762,16.9,71,57.6,41.3,"grazed",25,"PJ",21
"77","S20","Central",1,4,1298,13.1,69,44.1,13.3,"ungrazed",40,"Alex",2
"78","S20","Central",2,6,1298,17.4,45,44.1,13.3,"ungrazed",25,"Lea",0
"79","S20","Central",3,8,1298,18,60,44.1,13.3,"ungrazed",30,"Lea",0
"80","S20","Central",4,10,1298,15.7,55,44.1,13.3,"ungrazed",20,"Lea",2
"81","S21","South",1,4,1896,8.7,103,40.6,49.5,"ungrazed",40,"Alex",1
"82","S21","South",2,6,1896,12.7,37,40.6,49.5,"ungrazed",30,"Lea",1
"83","S21","South",3,8,1896,15.6,84,40.6,49.5,"ungrazed",25,"Alex",2
"84","S21","South",4,10,1896,8.4,46,40.6,49.5,"ungrazed",25,"PJ",3
"85","S22","South",1,4,949,14.5,97,44,42.5,"grazed",20,"Lea",6
"86","S22","South",2,6,949,19.2,25,44,42.5,"grazed",25,"Lea",0
"87","S22","South",3,8,949,20.6,49,44,42.5,"grazed",25,"Lea",0
"88","S22","South",4,10,949,16.8,93,44,42.5,"grazed",30,"PJ",3
"89","S23","South",1,4,1834,8.5,45,45.6,42.6,"grazed",30,"Lea",0
"90","S23","South",2,6,1834,13.5,69,45.6,42.6,"grazed",20,"Alex",0
"91","S23","South",3,8,1834,15.2,77,45.6,42.6,"grazed",30,"Lea",0
"92","S23","South",4,10,1834,10.2,114,45.6,42.6,"grazed",40,"PJ",0
"93","S24","South",1,4,1832,6.9,13,51.5,54.1,"grazed",30,"Lea",3
"94","S24","South",2,6,1832,13.3,92,51.5,54.1,"grazed",25,"PJ",0
"95","S24","South",3,8,1832,14.8,33,51.5,54.1,"grazed",40,"Alex",36
"96","S24","South",4,10,1832,11.7,176,51.5,54.1,"grazed",20,"PJ",1
"97","S25","South",1,4,1083,12.3,107,46,34.8,"ungrazed",30,"Alex",1
"98","S25","South",2,6,1083,16.5,8,46,34.8,"ungrazed",20,"PJ",1
"99","S25","South",3,8,1083,18.6,78,46,34.8,"ungrazed",25,"Lea",2
"100","S25","South",4,10,1083,15.8,127,46,34.8,"ungrazed",30,"Lea",12
"101","S26","South",1,4,1606,10.7,53,55.5,33.6,"grazed",40,"Alex",1
"102","S26","South",2,6,1606,15.4,32,55.5,33.6,"grazed",30,"Alex",0
"103","S26","South",3,8,1606,16.7,123,55.5,33.6,"grazed",25,"Alex",0
"104","S26","South",4,10,1606,13.3,19,55.5,33.6,"grazed",40,"PJ",3
"105","S27","South",1,4,1175,13.8,112,53.5,34,"ungrazed",25,"Alex",5
"106","S27","South",2,6,1175,17.6,105,53.5,34,"ungrazed",30,"PJ",18
"107","S27","South",3,8,1175,19.1,33,53.5,34,"ungrazed",40,"Lea",12
"108","S27","South",4,10,1175,15.1,66,53.5,34,"ungrazed",40,"PJ",13
"109","S28","South",1,4,1810,8.5,6,48.1,31.2,"ungrazed",40,"PJ",8
"110","S28","South",2,6,1810,12.7,43,48.1,31.2,"ungrazed",20,"Lea",8
"111","S28","South",3,8,1810,16.5,91,48.1,31.2,"ungrazed",30,"Lea",17
"112","S28","South",4,10,1810,11.5,96,48.1,31.2,"ungrazed",40,"PJ",28
"113","S29","South",1,4,545,18.6,66,58.2,34.2,"ungrazed",30,"PJ",6
"114","S29","South",2,6,545,21.2,132,58.2,34.2,"ungrazed",40,"PJ",5
"115","S29","South",3,8,545,24.5,64,58.2,34.2,"ungrazed",20,"PJ",0
"116","S29","South",4,10,545,17.5,73,58.2,34.2,"ungrazed",20,"Lea",2
"117","S30","South",1,4,474,17.2,69,58.9,66.6,"ungrazed",40,"Alex",6
"118","S30","South",2,6,474,22,71,58.9,66.6,"ungrazed",40,"Alex",4
"119","S30","South",3,8,474,24.1,117,58.9,66.6,"ungrazed",30,"PJ",10
"120","S30","South",4,10,474,19.8,90,58.9,66.6,"ungrazed",40,"Lea",0
